id,url,statut,type,cluster,parent_hub,requete_principale,pays,ville,priorite
"1","/services/audit-diagnostic-digital","publié","service","services","/services","Audit et diagnostic digital","","","1"
"2","/services/refonte-processus","publié","service","services","/services","Refonte des processus métier","","","1"
"3","/services/automatisation-integrations","publié","service","services","/services","Automatisation et intégrations","","","1"
"4","/services/ia-entreprise","publié","service","services","/services","Intelligence artificielle en entreprise","","","1"
"5","/services/developpement-outils-metier","publié","service","services","/services","Développement d'outils métier","","","1"
"6","/services/pilotage-deploiement","publié","service","services","/services","Pilotage et déploiement","","","1"
"7","/methode","publié","hub méthodologie","methode","/about","méthode de transformation digitale Audyxa","","","2"
"8","/methode/fondements-et-maturite-numerique","publié","pilier méthodologie","methode","/methode","Fondements et maturité numérique","","","2"
"9","/methode/mission-de-l-expert-du-premier-rendez-vous-au-suivi","publié","pilier méthodologie","methode","/methode","Mission de l'expert : du premier rendez-vous au suivi","","","2"
"10","/methode/processus-bpmn-lean-et-refonte","publié","pilier méthodologie","methode","/methode","Processus, BPMN, Lean et refonte","","","2"
"11","/methode/architecture-du-systeme-d-information","publié","pilier méthodologie","methode","/methode","Architecture du système d'information","","","2"
"12","/methode/strategie-data-bi-et-gouvernance","publié","pilier méthodologie","methode","/methode","Stratégie data, BI et gouvernance","","","2"
"13","/methode/cloud-infrastructure-devops-et-couts","publié","pilier méthodologie","methode","/methode","Cloud, infrastructure, DevOps et coûts","","","2"
"14","/methode/automatisation-api-rpa-et-low-code","publié","pilier méthodologie","methode","/methode","Automatisation, API, RPA et low-code","","","2"
"15","/methode/intelligence-artificielle-rag-agents-et-mcp","publié","pilier méthodologie","methode","/methode","Intelligence artificielle, RAG, agents et MCP","","","2"
"16","/methode/cybersecurite-confidentialite-et-resilience","publié","pilier méthodologie","methode","/methode","Cybersécurité, confidentialité et résilience","","","2"
"17","/methode/ux-produit-et-experience-client-numerique","publié","pilier méthodologie","methode","/methode","UX, produit et expérience client numérique","","","2"
"18","/methode/marketing-digital-et-mesure","publié","pilier méthodologie","methode","/methode","Marketing digital et mesure","","","2"
"19","/methode/crm-vente-et-service-client-omnicanal","publié","pilier méthodologie","methode","/methode","CRM, vente et service client omnicanal","","","2"
"20","/methode/operations-erp-supply-chain-et-iot","publié","pilier méthodologie","methode","/methode","Opérations, ERP, supply chain et IoT","","","2"
"21","/methode/modeles-d-affaires-numeriques-et-economie-unitaire","publié","pilier méthodologie","methode","/methode","Modèles d'affaires numériques et économie unitaire","","","2"
